,b0,b1,b2,b3,dt,stationId,w
112,78,77,76,69,2017-06-17 08:30:32.187,480049000c51343334363138,0
113,80,78,77,69,2017-06-17 12:40:30.557,480049000c51343334363138,0
114,81,79,75,68,2017-06-17 16:50:28.033,480049000c51343334363138,0
115,83,81,74,68,2017-06-17 21:00:28.200,480049000c51343334363138,0
116,84,79,77,70,2017-06-18 01:10:25.991,480049000c51343334363138,0
117,78,78,76,69,2017-06-18 05:20:25.475,480049000c51343334363138,0
118,79,78,76,69,2017-06-18 09:30:24.438,480049000c51343334363138,0
119,81,79,77,69,2017-06-18 13:45:33.187,480049000c51343334363138,0
120,79,77,75,68,2017-06-18 18:00:33.599,480049000c51343334363138,0
121,81,80,76,69,2017-06-18 22:10:34.630,480049000c51343334363138,0
122,84,79,77,70,2017-06-19 02:20:32.734,480049000c51343334363138,0
123,79,78,76,69,2017-06-19 06:30:30.917,480049000c51343334363138,0
124,81,78,76,69,2017-06-19 10:40:30.041,480049000c51343334363138,0
125,87,80,77,69,2017-06-19 14:50:28.157,480049000c51343334363138,0
126,80,79,77,70,2017-06-19 19:00:27.522,480049000c51343334363138,0
127,79,78,76,69,2017-06-19 23:10:27.902,480049000c51343334363138,0
128,80,77,76,69,2017-06-20 03:20:24.522,480049000c51343334363138,0
129,79,78,75,68,2017-06-20 07:30:23.888,480049000c51343334363138,0
130,79,78,76,68,2017-06-22 17:55:34.592,480049000c51343334363138,0
131,79,79,75,68,2017-06-22 22:05:33.841,480049000c51343334363138,0
132,79,78,76,69,2017-06-23 03:25:32.677,480049000c51343334363138,0
133,79,78,76,69,2017-06-23 08:55:31.511,480049000c51343334363138,0
134,81,79,77,70,2017-06-23 13:05:29.282,480049000c51343334363138,0
135,82,80,77,68,2017-06-23 17:15:27.665,480049000c51343334363138,0
136,78,77,74,68,2017-06-23 21:25:27.897,480049000c51343334363138,0
137,80,78,77,70,2017-06-24 01:35:26.309,480049000c51343334363138,0
138,79,78,76,70,2017-06-24 05:45:25.858,480049000c51343334363138,0
139,78,77,75,69,2017-06-24 09:55:24.477,480049000c51343334363138,0
140,84,79,78,70,2017-06-24 14:05:23.892,480049000c51343334363138,0
141,83,81,76,68,2017-06-24 18:15:22.628,480049000c51343334363138,0
142,81,80,76,68,2017-06-24 22:25:20.197,480049000c51343334363138,0
143,81,78,77,70,2017-06-25 02:35:20.182,480049000c51343334363138,0
144,78,77,76,70,2017-06-25 06:45:18.408,480049000c51343334363138,0
145,79,78,76,69,2017-06-25 11:00:17.731,480049000c51343334363138,0
146,85,82,82,69,2017-06-25 15:15:35.702,480049000c51343334363138,4
147,61,60,57,48,2017-05-13 04:00:49.060,480049000c51343334363138,0
148,60,59,56,48,2017-05-13 12:20:03.606,480049000c51343334363138,0
149,60,60,57,50,2017-06-08 20:10:03.634,480049000c51343334363138,0
150,60,59,56,50,2017-06-09 05:35:34.847,480049000c51343334363138,0
151,92,77,74,67,2017-06-09 17:40:33.837,480049000c51343334363138,0
152,98,78,74,67,2017-06-09 22:00:34.459,480049000c51343334363138,0
153,81,77,74,67,2017-06-10 02:10:31.893,480049000c51343334363138,0
154,79,77,74,67,2017-06-10 06:20:30.799,480049000c51343334363138,0
155,80,77,74,67,2017-06-10 10:30:28.729,480049000c51343334363138,0
156,113,82,75,67,2017-06-10 14:40:28.094,480049000c51343334363138,0
157,80,78,76,68,2017-06-16 15:55:34.169,480049000c51343334363138,0
158,80,78,74,68,2017-06-16 20:05:34.773,480049000c51343334363138,0
159,78,77,75,68,2017-06-17 00:15:32.693,480049000c51343334363138,0
160,78,78,76,69,2017-06-17 04:25:31.268,480049000c51343334363138,0
161,78,77,76,69,2017-06-17 08:35:30.528,480049000c51343334363138,0
162,82,80,78,70,2017-06-17 12:45:30.358,480049000c51343334363138,0
163,81,80,76,68,2017-06-17 16:55:29.467,480049000c51343334363138,0
164,79,78,73,68,2017-06-17 21:05:27.584,480049000c51343334363138,0
165,83,78,77,69,2017-06-18 01:15:25.681,480049000c51343334363138,0
166,78,78,76,69,2017-06-18 05:25:26.011,480049000c51343334363138,0
167,78,78,76,69,2017-06-18 09:35:25.087,480049000c51343334363138,0
168,81,79,77,69,2017-06-18 13:50:35.025,480049000c51343334363138,0
169,79,78,76,68,2017-06-18 18:05:34.919,480049000c51343334363138,0
170,83,80,76,68,2017-06-18 22:15:32.376,480049000c51343334363138,0
171,84,79,77,70,2017-06-19 02:25:31.578,480049000c51343334363138,0
172,79,77,76,69,2017-06-19 06:35:30.958,480049000c51343334363138,0
173,81,78,76,69,2017-06-19 10:45:31.308,480049000c51343334363138,0
174,88,81,80,70,2017-06-19 14:55:29.593,480049000c51343334363138,0
175,79,78,76,69,2017-06-19 19:05:27.870,480049000c51343334363138,0
176,79,78,76,69,2017-06-19 23:15:26.111,480049000c51343334363138,0
177,80,77,76,69,2017-06-20 03:25:25.498,480049000c51343334363138,0
178,79,77,75,68,2017-06-20 07:35:25.327,480049000c51343334363138,0
179,81,80,77,68,2017-06-22 18:00:35.395,480049000c51343334363138,0
180,80,80,76,68,2017-06-22 22:10:33.435,480049000c51343334363138,0
181,79,78,77,70,2017-06-23 03:30:31.400,480049000c51343334363138,0
182,79,78,76,69,2017-06-23 09:00:30.089,480049000c51343334363138,0
183,81,78,76,69,2017-06-23 13:10:29.133,480049000c51343334363138,0
184,86,80,77,68,2017-06-23 17:20:27.522,480049000c51343334363138,0
185,79,77,74,68,2017-06-23 21:30:26.303,480049000c51343334363138,0
186,83,78,77,70,2017-06-24 01:40:25.983,480049000c51343334363138,0
187,78,78,76,70,2017-06-24 05:50:24.250,480049000c51343334363138,0
188,78,77,76,69,2017-06-24 10:00:24.291,480049000c51343334363138,0
189,84,80,78,70,2017-06-24 14:10:24.217,480049000c51343334363138,0
190,87,83,77,68,2017-06-24 18:20:21.751,480049000c51343334363138,0
191,79,79,76,69,2017-06-24 22:30:21.013,480049000c51343334363138,0
192,81,78,77,70,2017-06-25 02:40:20.406,480049000c51343334363138,0
193,78,78,76,70,2017-06-25 06:50:18.540,480049000c51343334363138,0
