File,Whistle,maxSNR1,bins1,maxSNR2,bins2,maxSNR3,bins3
2017-11-03T011000_0004e9e500057249_2.0.wav,0,15.841402,7,6.731133,0,3.177398,0
2017-11-03T011500_0004e9e500057249_2.0.wav,0,18.496124,9,10.891503,1,3.829874,0
2017-11-03T012000_0004e9e500057249_2.0.wav,0,16.87041,10,8.204909,0,3.981921,0
2017-11-03T012500_0004e9e500057249_2.0.wav,0,13.819439,15,7.647083,0,3.161323,0
2017-11-03T013000_0004e9e500057249_2.0.wav,0,16.551301,6,7.512059,0,2.973192,0
2017-11-03T013500_0004e9e500057249_2.0.wav,0,16.628194,9,7.293843,0,3.367503,0
2017-11-03T014000_0004e9e500057249_2.0.wav,0,14.488252,14,8.339873,0,3.57149,0
2017-11-03T014500_0004e9e500057249_2.0.wav,0,12.939184,13,7.89282,0,3.179304,0
2017-11-03T015000_0004e9e500057249_2.0.wav,0,15.306632,26,8.334277,0,3.993304,0
2017-11-03T015500_0004e9e500057249_2.0.wav,0,12.595064,8,6.674364,0,3.246616,0
2017-11-03T020000_0004e9e500057249_2.0.wav,0,12.85229,13,6.838659,0,3.265652,0
2017-11-03T020500_0004e9e500057249_2.0.wav,0,13.289298,9,8.43589,0,3.078129,0
2017-11-03T021000_0004e9e500057249_2.0.wav,0,14.196491,15,6.755098,0,3.277048,0
2017-11-03T021500_0004e9e500057249_2.0.wav,0,13.121937,10,8.067177,0,3.173798,0
2017-11-03T022000_0004e9e500057249_2.0.wav,0,15.306799,11,7.680856,0,3.250028,0
2017-11-03T022500_0004e9e500057249_2.0.wav,0,28.338917,18,13.152226,2,6.439533,0
2017-11-03T023000_0004e9e500057249_2.0.wav,0,12.438866,7,6.179774,0,3.14924,0
2017-11-03T024000_0004e9e500057249_2.0.wav,0,11.955693,6,6.796188,0,3.387629,0
2017-11-03T024500_0004e9e500057249_2.0.wav,0,13.345945,9,6.913598,0,3.080162,0
2017-11-03T025000_0004e9e500057249_2.0.wav,0,24.45424,7,12.019872,1,3.944734,0
2017-11-03T025500_0004e9e500057249_2.0.wav,0,15.793934,11,12.258533,1,4.574701,0
2017-11-03T030000_0004e9e500057249_2.0.wav,0,17.312177,12,8.461623,0,3.427789,0
2017-11-03T031000_0004e9e500057249_2.0.wav,0,13.070219,5,6.870374,0,3.020385,0
2017-11-03T032500_0004e9e500057249_2.0.wav,0,13.386829,11,8.106037,0,2.994099,0
2017-11-03T033000_0004e9e500057249_2.0.wav,0,15.669349,11,8.137804,0,3.890276,0
2017-11-03T033500_0004e9e500057249_2.0.wav,0,12.359047,5,7.18247,0,3.38534,0
2017-11-03T034000_0004e9e500057249_2.0.wav,0,16.103873,12,9.583137,0,3.753739,0
2017-11-03T034500_0004e9e500057249_2.0.wav,0,11.788961,12,6.64342,0,3.283185,0
2017-11-03T035000_0004e9e500057249_2.0.wav,0,11.409348,2,6.493237,0,3.183846,0
2017-11-03T035500_0004e9e500057249_2.0.wav,0,26.997196,41,10.941413,2,5.09447,0
2017-11-03T040000_0004e9e500057249_2.0.wav,0,14.12152,6,6.81738,0,3.107962,0
2017-11-03T040500_0004e9e500057249_2.0.wav,0,12.058171,10,6.603909,0,3.121409,0
2017-11-03T041000_0004e9e500057249_2.0.wav,0,17.283713,7,11.159002,1,3.458433,0
2017-11-03T041500_0004e9e500057249_2.0.wav,0,13.40745,11,6.983927,0,3.64142,0
2017-11-03T042000_0004e9e500057249_2.0.wav,0,13.804465,8,7.495642,0,2.933789,0
2017-11-03T042500_0004e9e500057249_2.0.wav,0,12.985277,11,7.532251,0,3.191489,0
2017-11-03T043000_0004e9e500057249_2.0.wav,0,16.579488,8,7.957535,0,3.218367,0
2017-11-03T043500_0004e9e500057249_2.0.wav,0,17.65995,9,13.011651,1,4.896227,0
2017-11-03T044000_0004e9e500057249_2.0.wav,0,11.560511,8,7.067537,0,3.283434,0
2017-11-03T044500_0004e9e500057249_2.0.wav,0,13.182734,13,8.049699,0,3.622028,0
2017-11-03T045000_0004e9e500057249_2.0.wav,0,14.450904,8,6.898244,0,2.931305,0
2017-11-03T051000_0004e9e500057249_2.0.wav,0,14.992298,8,8.218755,0,3.140756,0
2017-11-03T051500_0004e9e500057249_2.0.wav,0,14.217407,10,7.607492,0,3.160194,0
2017-11-03T052000_0004e9e500057249_2.0.wav,0,12.805436,10,7.623154,0,3.808255,0
2017-11-03T052500_0004e9e500057249_2.0.wav,0,13.071577,12,8.170555,0,3.124331,0
2017-11-03T053000_0004e9e500057249_2.0.wav,0,15.95793,11,8.097757,0,3.121802,0
2017-11-03T053500_0004e9e500057249_2.0.wav,0,15.331374,15,8.308854,0,3.493067,0
2017-11-03T054000_0004e9e500057249_2.0.wav,0,13.06224,14,7.609303,0,3.512463,0
2017-11-03T054500_0004e9e500057249_2.0.wav,0,11.982135,11,8.254607,0,2.986999,0
2017-11-03T055500_0004e9e500057249_2.0.wav,0,16.385024,15,6.947125,0,3.383369,0
2017-11-03T060500_0004e9e500057249_2.0.wav,0,13.730054,19,7.127206,0,3.561173,0
2017-11-03T062000_0004e9e500057249_2.0.wav,0,14.919503,12,8.593572,0,3.64243,0
2017-11-03T062500_0004e9e500057249_2.0.wav,0,15.065622,18,8.501894,0,3.427386,0
2017-11-03T063500_0004e9e500057249_2.0.wav,0,16.226876,16,6.530293,0,3.236081,0
2017-11-03T064000_0004e9e500057249_2.0.wav,0,16.818775,14,7.931813,0,3.212918,0
2017-11-03T065000_0004e9e500057249_2.0.wav,0,15.089372,25,7.469077,0,4.515677,0
2017-11-03T070000_0004e9e500057249_2.0.wav,0,27.38577,5,16.848343,1,6.156402,0
2017-11-03T070500_0004e9e500057249_2.0.wav,0,15.610917,16,7.797708,0,3.112654,0
2017-11-03T071000_0004e9e500057249_2.0.wav,0,16.028989,12,8.836752,0,3.28586,0
2017-11-03T071500_0004e9e500057249_2.0.wav,0,13.255387,12,7.07752,0,3.417192,0
2017-11-03T072000_0004e9e500057249_2.0.wav,0,17.282877,12,10.292079,1,3.53741,0
2017-11-03T072500_0004e9e500057249_2.0.wav,0,16.716001,15,8.248491,0,3.359728,0
2017-11-03T073000_0004e9e500057249_2.0.wav,0,21.2954,13,10.799048,1,4.098692,0
2017-11-03T073500_0004e9e500057249_2.0.wav,0,16.477211,14,6.991067,0,3.166596,0
2017-11-03T074000_0004e9e500057249_2.0.wav,0,18.118588,19,12.024285,2,3.891043,0
2017-11-03T074500_0004e9e500057249_2.0.wav,0,19.539877,14,8.107128,0,3.357777,0
2017-11-03T075000_0004e9e500057249_2.0.wav,0,20.992304,15,12.706026,1,4.096391,0
2017-11-03T075500_0004e9e500057249_2.0.wav,0,13.843891,10,7.020221,0,3.220089,0
2017-11-03T080000_0004e9e500057249_2.0.wav,0,14.867477,15,7.148841,0,3.633018,0
2017-11-03T080500_0004e9e500057249_2.0.wav,0,13.373993,14,8.520801,0,3.425742,0
2017-11-03T081000_0004e9e500057249_2.0.wav,0,12.356196,6,9.839339,0,3.139672,0
2017-11-03T082500_0004e9e500057249_2.0.wav,0,18.506364,14,11.328275,1,3.618075,0
2017-11-03T083000_0004e9e500057249_2.0.wav,0,15.191176,20,7.105711,0,3.15988,0
2017-11-03T083500_0004e9e500057249_2.0.wav,0,12.135376,9,6.834669,0,3.407851,0
2017-11-03T084000_0004e9e500057249_2.0.wav,0,33.571163,13,14.420507,1,4.539574,0
2017-11-03T084500_0004e9e500057249_2.0.wav,0,13.118683,10,6.858064,0,2.970944,0
2017-11-03T085000_0004e9e500057249_2.0.wav,0,12.665518,6,7.326247,0,3.03086,0
